query,original_query,concepts
science fiction novels that are sequel novels about war and conflict,<mark>Sequel novels</mark> that are also both <mark>Novels about war and conflict</mark> and <mark>Science fiction novels</mark>,"[""Science fiction novels"", ""Sequel novels"", ""War novels"", ""Novels about interstellar conflict""]"
2010s American neo-noir c.rime drama films,<mark>2010s crime drama films</mark> that are also <mark>American neo-noir films</mark>,"[""2010s films"", ""American films"", ""Neo-noir films"", ""Crime drama films""]"
"Birds found in South China and Vietnam, but not in Yunnan",<mark>Birds of South China</mark> that are also <mark>Birds of Vietnam</mark> but not <mark>Birds of Yunnan</mark>,"[""Birds of South China"", ""Birds of Vietnam"", ""Birds of Yunnan""]"
"what are some Novels set in Ancient China, set in the Ming dynasty, or set in Shaanxi?",<mark>Novels set in Ancient China</mark> or <mark>Novels set in the Ming dynasty</mark> or <mark>Novels set in Shaanxi</mark>,"[""Novels set in Ancient China"", ""Novels set in the Ming dynasty"", ""Novels set in Shaanxi""]"
Flora of Southwestern Europe and Germany,<mark>Flora of Southwestern Europe</mark> that are also <mark>Flora of Germany</mark> but not <mark>Flora of Eastern Europe</mark>,"[""Flora of Southwestern Europe"", ""Flora of Germany""]"
Fish of Central Asia that are not of Europe,<mark>Fish of Central Asia</mark> that are not <mark>Marine fauna of Europe</mark>,"[""Fish of Central Asia"", ""Freshwater fish"", ""Fish of Europe"", ""Fish of the Aral Sea basin"", ""Endemic fish of Central Asia""]"
Trees of Quintana Roo or Martinique or Flora of the Southwest Caribbean,<mark>Trees of Quintana Roo</mark> or <mark>Flora of the Southwest Caribbean</mark> or <mark>Trees of Martinique</mark>,"[""Trees of Quintana Roo"", ""Trees of Martinique"", ""Flora of the Southwest Caribbean""]"
Novels set in the 1900s not based on real events,<mark>Novels set in the 1900s</mark> that are not <mark>Novels based on actual events</mark>,"[""Novels"", ""Novels set in the first decade of the twentieth century"", ""Novels based on actual events"", ""Biographical novels""]"
Buddy films about mental states and the film industry,<mark>Films about mental states</mark> that are also both <mark>Buddy films</mark> and <mark>Films about the film industry</mark>,"[""Buddy films"", ""Films about mental health"", ""Films about filmmaking"", ""Films about actors and acting""]"
1974 books about the American Revolution,<mark>Books about the American Revolution</mark> that are also <mark>1974 books</mark>,"[""Books about the American Revolution"", ""United States military history books"", ""Biographies of American Revolutionary figures"", ""Historiography of the American Revolution"", ""Primary source collections on the American Revolution""]"
Films adapted into comics set in japan,<mark>Films set in Japan</mark> that are also <mark>Films adapted into comics</mark>,"[""Films adapted into comic books"", ""Films set in Japan"", ""Films with manga adaptations""]"
1988 Asian drama films about law enforcement,<mark>1988 drama films</mark> that are also both <mark>Films about law enforcement</mark> and <mark>Asian films</mark>,"[""Drama films"", ""Law enforcement films"", ""Asian films"", ""1988 films""]"
Novels from 1980 about war and conflict,<mark>1980 novels</mark> that are also <mark>Novels about war and conflict</mark>,"[""War novels"", ""Novels about political conflict"", ""Anti-war novels""]"
Fauna of Northeast Asia that are Mammals of Azerbaijan,<mark>Mammals of Azerbaijan</mark> that are also <mark>Fauna of Northeast Asia</mark>,"[""Fauna of Northeast Asia"", ""Mammals of Azerbaijan"", ""Mammals of the Caucasus"", ""Mammals of Northeast Asia""]"
Trees found in Eastern Canada that are not found in the Southeastern United States,<mark>Trees of Eastern Canada</mark> that are not <mark>Flora of the Southeastern United States</mark>,"[""Trees of Eastern Canada"", ""Trees of the Southeastern United States""]"
Books about military personal that don't have murder in them,<mark>Books about military personnel</mark> that are not <mark>Books about murder</mark>,"[""Books about military personnel"", ""Military biographies and memoirs"", ""Military-themed novels"", ""Murder in fiction"", ""True crime about murder""]"
Procellariiformes late Cretaceous dinosaurs,<mark>Late Cretaceous dinosaurs</mark> that are also <mark>Procellariiformes</mark>,"[""Procellariiformes"", ""Late Cretaceous dinosaurs"", ""Late Cretaceous birds"", ""Seabirds""]"
what are Endemic orchids of Vietnam,<mark>Endemic orchids of Vietnam</mark>,"[""Endemic orchids of Vietnam"", ""Orchids of Vietnam"", ""Endemic flora of Vietnam"", ""Orchids of Southeast Asia""]"
Paraguay crops,<mark>Crops originating from Paraguay</mark>,"[""Crops of Paraguay"", ""Cash crops in Paraguay"", ""Staple food crops in Paraguay"", ""Cereal crops in Paraguay"", ""Oilseed crops in Paraguay""]"
English-language or multilingual or biographical drama Bulgarian films,<mark>Bulgarian biographical drama films</mark> or <mark>English-language Bulgarian films</mark> or <mark>Bulgarian multilingual films</mark>,"[""Bulgarian films"", ""Drama films"", ""Biographical films"", ""English-language films"", ""Multilingual films""]"
what are the Trees of Morocco?,<mark>Trees of Morocco</mark>,"[""Trees of Morocco"", ""Endemic trees of Morocco"", ""Introduced trees in Morocco"", ""Trees of the Atlas Mountains"", ""Trees of North Africa""]"
Trees of Eastern Canada not in Flora of the Great Lakes region.,<mark>Trees of Eastern Canada</mark> that are not <mark>Flora of the Great Lakes region (North America)</mark>,"[""Trees of Eastern Canada"", ""Flora of the Great Lakes region""]"
Teen horror films from 1980s that are not about serial killers,<mark>1980s teen horror films</mark> that are not <mark>Serial killer films</mark>,"[""Teen horror films"", ""1980s films"", ""Serial killer films""]"
Trees of Papuasia that are not in Melanesia,<mark>Trees of Papuasia</mark> that are not <mark>Flora of Melanesia</mark>,"[""Trees of Papuasia"", ""Trees of Melanesia"", ""Trees of the Aru Islands""]"
books from 1704,<mark>1704 books</mark>,"[""Books"", ""18th-century books"", ""1700s publications""]"
"What are Orchids of Honduras or, Orchids of Suriname or, Orchids of Guyana?",<mark>Orchids of Honduras</mark> or <mark>Orchids of Suriname</mark> or <mark>Orchids of Guyana</mark>,"[""Orchids of Honduras"", ""Orchids of Suriname"", ""Orchids of Guyana"", ""Orchids of Central America"", ""Orchids of the Guianas""]"
Oceanian realm flora that are Flora of Cambodia and Paleotropical flora,<mark>Oceanian realm flora</mark> that are also both <mark>Flora of Cambodia</mark> and <mark>Paleotropical flora</mark>,"[""Oceanian realm flora"", ""Flora of Cambodia"", ""Paleotropical flora""]"
what are Parastacidae that are not also Fauna of Australia,<mark>Parastacidae</mark> that are not <mark>Fauna of Australia</mark>,"[""Parastacidae"", ""Fauna of Australia"", ""Fauna of New Zealand"", ""Fauna of Madagascar"", ""Fauna of South America""]"
Vultures from North or South America,<mark>New World vultures</mark>,"[""Vultures"", ""Birds of North America"", ""Birds of South America""]"
Plants of New Zealand that are extinct or plants from the Ordovician period or plants documented through fossils,<mark>Extinct plants of New Zealand</mark> or <mark>Ordovician plants</mark> or <mark>Fossil record of plants</mark>,"[""Plants of New Zealand"", ""Extinct plants"", ""Ordovician plants"", ""Fossil plants""]"
Lost Indian films excluding Indian black-and-white films,<mark>Lost Indian films</mark> that are not <mark>Indian black-and-white films</mark>,"[""Lost films"", ""Indian films"", ""Indian black-and-white films""]"
American books about crowd psychology,<mark>American books</mark> that are also <mark>Books about crowd psychology</mark> but not <mark>Books about the United States</mark>,"[""Books about crowd psychology"", ""American psychology books"", ""Books about collective behavior"", ""Books by American authors"", ""Social psychology books""]"
Nonotypic Caryophyllales of western South America,<mark>Monotypic Caryophyllales genera</mark> that are also <mark>Flora of western South America</mark>,"[""Monotypic plant genera"", ""Caryophyllales genera"", ""Flora of western South America"", ""Andean flora""]"
Historical American children's animated films set in the 1870's,<mark>Historical films</mark> that are also both <mark>American children's animated films</mark> and <mark>Films set in the 1870s</mark>,"[""Children's animated films"", ""American films"", ""Historical films"", ""Films set in the United States"", ""19th-century setting""]"
"plants found in Eastern Canada, Kazakhstan, and Europe",<mark>Flora of Eastern Canada</mark> that are also both <mark>Flora of Kazakhstan</mark> and <mark>Flora of Europe</mark>,"[""Flora of Eastern Canada"", ""Flora of Kazakhstan"", ""Flora of Europe""]"
Czech coming-of-age comedy films or based on Henry IV (play) or 1966 comedy-drama films,<mark>1966 comedy-drama films</mark> or <mark>Films based on Henry IV (play)</mark> or <mark>Czech coming-of-age comedy films</mark>,"[""Czech films"", ""Coming-of-age films"", ""Comedy films"", ""Films based on Henry IV (play)"", ""1960s films"", ""Comedy-drama films""]"
Animals from Aruba,<mark>Fauna of Aruba</mark>,"[""Fauna of Aruba"", ""Birds of Aruba"", ""Reptiles of Aruba"", ""Marine animals of Aruba"", ""Endemic animals of Aruba""]"
Endemic birds of Myanmar,<mark>Endemic birds of Myanmar</mark>,"[""Endemic birds of Myanmar"", ""Birds of Myanmar"", ""Endemic fauna of Myanmar"", ""Endemic birds of Southeast Asia""]"
Canadian books about writers by Alfred A. Knopf,<mark>Novels about writers</mark> that are also both <mark>Alfred A. Knopf books</mark> and <mark>Canadian books</mark>,"[""Canadian books"", ""Books about writers"", ""Alfred A. Knopf books""]"
Garden plants of South America that are also in Ecuador,<mark>Garden plants of South America</mark> that are also <mark>Flora of Ecuador</mark>,"[""Garden plants of South America"", ""Flora of Ecuador"", ""Ornamental plants""]"
Crime novels set in the Middle Ages but not set in Italy,<mark>Crime novels</mark> that are also <mark>Novels set in the Middle Ages</mark> but not <mark>Novels set in Italy</mark>,"[""Crime novels"", ""Mystery novels"", ""Novels set in the Middle Ages"", ""Novels set in Italy""]"
books from 1625,<mark>1625 books</mark>,"[""Early modern books"", ""17th-century books"", ""1620s books""]"
Films about the Haitian Revolution,<mark>Haitian Revolution films</mark>,"[""Films about the Haitian Revolution"", ""Historical films about Haiti"", ""Films set in Saint-Domingue"", ""Biographical films about Toussaint Louverture"", ""Films about slave uprisings in the Caribbean""]"
what are some Endemic flora of Western New Guinea,<mark>Endemic flora of Western New Guinea</mark>,"[""Endemic flora of Western New Guinea"", ""Endemic trees of Western New Guinea"", ""Endemic orchids of Western New Guinea"", ""Endemic montane flora of Western New Guinea"", ""Endemic flora of the Bird's Head Peninsula""]"
Non-science non-fantasy films about bats,<mark>Films about bats</mark> that are not <mark>Science fantasy films</mark>,"[""Films about bats"", ""Science fiction films"", ""Fantasy films"", ""Feature films""]"
1950s drama films about alcohol and Depictions of women,<mark>Depictions of women in film</mark> that are also both <mark>Films about alcohol</mark> and <mark>1950s drama films</mark>,"[""1950s drama films"", ""Films about alcohol"", ""Films about women""]"
books from 1779,<mark>1779 books</mark>,"[""18th-century books"", ""1770s books"", ""Late 1770s books""]"
"What are Irish action films, Films shot in Gauteng, or South African science fiction action films?",<mark>Irish action films</mark> or <mark>Films shot in Gauteng</mark> or <mark>South African science fiction action films</mark>,"[""Irish action films"", ""Films shot in Gauteng"", ""South African science fiction action films""]"
Novels set in the Reformation or from 1799 or by Charles Brockden Brown,<mark>1799 books</mark> or <mark>Novels by Charles Brockden Brown</mark> or <mark>Novels set in the Reformation</mark>,"[""Novels set in the Protestant Reformation"", ""Late eighteenth-century novels"", ""Novels by Charles Brockden Brown""]"
Grasses of both Canada and the California desert regions,<mark>Grasses of Canada</mark> that are also <mark>Flora of the California desert regions</mark>,"[""Grasses of Canada"", ""Grasses of the Mojave Desert"", ""Grasses of the Colorado Desert"", ""Grasses of the Great Basin Desert""]"
1970s science fiction novels set in outer space but are not American speculative fiction novels,<mark>Novels set in outer space</mark> that are also <mark>1970s science fiction novels</mark> but not <mark>American speculative fiction novels</mark>,"[""Science fiction novels"", ""1970s novels"", ""Novels set in outer space"", ""American speculative fiction novels""]"
2004 jewish american fiction novels,<mark>2004 fiction books</mark> that are also <mark>Jewish American novels</mark>,"[""Jewish American novels"", ""American novels"", ""2000s novels"", ""Jewish fiction""]"
what are Flora of Bermuda or Trees of Bermuda?,<mark>Flora of Bermuda</mark> or <mark>Trees of Bermuda</mark>,"[""Flora of Bermuda"", ""Trees of Bermuda""]"
Flora from Antarctica,<mark>Flora of Antarctica</mark>,"[""Flora of Antarctica"", ""Vascular plants of Antarctica"", ""Bryophytes of Antarctica"", ""Lichens of Antarctica"", ""Algae of Antarctica""]"
American books based on the Bible but not about Judaism.,<mark>American books</mark> that are also <mark>Books based on the Bible</mark> but not <mark>Books about Jews and Judaism</mark>,"[""American books"", ""Books based on the Bible"", ""Biblical fiction"", ""American religious literature"", ""Books about Judaism""]"
Films set in the 1420s or 1805 or set on the Galápagos Islands,<mark>Films set in the 1420s</mark> or <mark>Films set on the Galápagos Islands</mark> or <mark>Films set in 1805</mark>,"[""Films set in the 15th century"", ""Films set during the Napoleonic Wars"", ""Films set in the early 19th century"", ""Films set on the Gal\u00e1pagos Islands""]"
List trees of the Cayman Islands.,<mark>Trees of the Cayman Islands</mark>,"[""Trees of the Cayman Islands"", ""Endemic trees of the Cayman Islands"", ""Introduced trees of the Cayman Islands"", ""Mangrove trees of the Cayman Islands"", ""Trees of the Caribbean""]"
Mesozoic fish of Asia,<mark>Mesozoic fish of Asia</mark> that are not <mark>Prehistoric animals of Asia</mark>,"[""Mesozoic fish"", ""Fish of Asia"", ""Triassic fish"", ""Jurassic fish"", ""Cretaceous fish""]"
"Hedgehogs,Erinaceidae, or Gymnures",<mark>Hedgehogs</mark> or <mark>Erinaceidae</mark> or <mark>Gymnures</mark>,"[""Hedgehogs"", ""Gymnures (moonrats)"", ""Erinaceidae (family)""]"
Flora of Alberta but not British Columbia,<mark>Flora of Alberta</mark> that are not <mark>Flora of British Columbia</mark>,"[""Flora of Alberta"", ""Flora of British Columbia""]"
1965 fictional social science books about sexuality.,<mark>1965 fiction books</mark> that are also both <mark>Social sciences books</mark> and <mark>Books about sexuality</mark>,"[""Fiction books"", ""Sociological fiction"", ""Anthropological fiction"", ""Books about human sexuality"", ""Satirical academic fiction""]"
BTS films,<mark>Films about BTS</mark>,"[""Films about BTS (band)"", ""Concert films featuring BTS"", ""Documentary films about BTS"", ""K-pop concert films"", ""South Korean music documentary films""]"
Botswana trees,<mark>Trees of Botswana</mark>,"[""Trees of Botswana"", ""Flora of Botswana"", ""Trees of Southern Africa"", ""Savanna trees of Africa""]"
movies set in Buckinghamshire,<mark>Films set in Buckinghamshire</mark>,"[""Films set in Buckinghamshire"", ""Films set in the Home Counties"", ""Films set in South East England"", ""Films set in England""]"
History books about Asia that are also about Islamic studies,<mark>Islamic studies books</mark> that are also <mark>History books about Asia</mark>,"[""History books"", ""Books about Asia"", ""Islamic studies books"", ""Islamic history""]"
Ballantine Books that are Dystopian novels about legendary creatures,<mark>Ballantine Books books</mark> that are also both <mark>Dystopian novels</mark> and <mark>Novels about legendary creatures</mark>,"[""Ballantine Books publications"", ""Dystopian novels"", ""Novels about legendary creatures""]"
2014 novels that are also Children's novels but not american,<mark>2014 novels</mark> that are also <mark>Children's novels</mark> but not <mark>2014 American novels</mark>,"[""2010s novels"", ""Children's novels"", ""American novels""]"
Vietnamese films based on literature but not set in 1948,<mark>Films based on literature</mark> that are also <mark>Vietnamese films</mark> but not <mark>Films set in 1948</mark>,"[""Vietnamese films"", ""Films based on literature"", ""Films set in 1948""]"
Miocene reptiles of Europe or Oligocene or Pleistocene turtles,<mark>Miocene reptiles of Europe</mark> or <mark>Oligocene turtles</mark> or <mark>Pleistocene turtles</mark>,"[""Miocene reptiles"", ""Reptiles of Europe"", ""Oligocene turtles"", ""Pleistocene turtles""]"
Israeli animated films or 1990s French animated films,<mark>1990s French animated films</mark> or <mark>Israeli animated films</mark>,"[""Israeli animated films"", ""French animated films"", ""1990s films""]"
what are some Novels set in Brunei,<mark>Novels set in Brunei</mark>,"[""Novels set in Brunei"", ""Bruneian literature"", ""Borneo in fiction"", ""Southeast Asian novels""]"
Fauna of the Babuyan Islands or Gallirallus,<mark>Gallirallus</mark> or <mark>Fauna of the Babuyan Islands</mark>,"[""Fauna of the Babuyan Islands"", ""Birds of the Babuyan Islands"", ""Genus Gallirallus""]"
1990's speculative fiction novels about the military that are not scifi?,<mark>1990s speculative fiction novels</mark> that are also <mark>Novels about the military</mark> but not <mark>Military science fiction novels</mark>,"[""Speculative fiction novels"", ""Military novels"", ""1990s novels"", ""Science fiction novels"", ""Alternate history novels""]"
African-American American fantasy comedy-drama films,<mark>American fantasy comedy-drama films</mark> that are also <mark>African-American films</mark>,"[""African-American films"", ""American films"", ""Fantasy films"", ""Comedy-drama films""]"
"Novels set in Paraguay, or, 1759 books or, Science fiction novel trilogies.",<mark>Novels set in Paraguay</mark> or <mark>1759 books</mark> or <mark>Science fiction novel trilogies</mark>,"[""Novels set in Paraguay"", ""Books published in 1759"", ""Science fiction novel trilogies""]"
Endemic flora of Algeria or Morocco or Monotypic Amaryllidaceae genera,<mark>Endemic flora of Algeria</mark> or <mark>Endemic flora of Morocco</mark> or <mark>Monotypic Amaryllidaceae genera</mark>,"[""Endemic flora of Algeria"", ""Endemic flora of Morocco"", ""Monotypic genera in Amaryllidaceae""]"
cultural geography and Science books but not about creativity,<mark>Science books</mark> that are also <mark>Books about cultural geography</mark> but not <mark>Books about creativity</mark>,"[""Cultural geography"", ""Science books"", ""Books about creativity""]"
Marlon James Novels,<mark>Novels by Marlon James</mark>,"[""Novels by Marlon James"", ""Historical novels set in Jamaica"", ""Caribbean novels"", ""Fantasy novels inspired by African mythology"", ""Booker Prize-winning novels""]"
Birds of Bolivia described in 1855,<mark>Birds of Bolivia</mark> that are also <mark>Birds described in 1855</mark>,"[""Birds of Bolivia"", ""Birds of the Andes"", ""Neotropical birds"", ""Birds described in 1855""]"
"Plants found in the Cook Islands or the Line Islands, or native plants of the Cook Islands",<mark>Flora of the Cook Islands</mark> or <mark>Flora of the Line Islands</mark> or <mark>Endemic flora of the Cook Islands</mark>,"[""Flora of the Cook Islands"", ""Native flora of the Cook Islands"", ""Flora of the Line Islands""]"
Books about the British Empire but not about Pakistan.,<mark>Books about the British Empire</mark> that are not <mark>Books about Pakistan</mark>,"[""Books about the British Empire"", ""Books about Pakistan""]"
"Films about politicians that are also Documentary films about public opinion, excluding Documentary films about American politics",<mark>Films about politicians</mark> that are also <mark>Documentary films about public opinion</mark> but not <mark>Documentary films about American politics</mark>,"[""Films about politicians"", ""Documentary films about public opinion"", ""Documentary films about American politics""]"
Flora of Indonesia and Indo-China but not of the Philippines,<mark>Flora of Indo-China</mark> that are also <mark>Flora of Indonesia</mark> but not <mark>Flora of the Philippines</mark>,"[""Flora of Indonesia"", ""Flora of Indochina"", ""Flora of the Philippines""]"
What are Comedy films from Georgia (country) or based on works by Mikhail Zoshchenko,<mark>Comedy films from Georgia (country)</mark> or <mark>Films based on works by Mikhail Zoshchenko</mark>,"[""Comedy films"", ""Films from Georgia (country)"", ""Films based on works by Mikhail Zoshchenko""]"
1993 drama erotic films about sexuality,<mark>1993 drama films</mark> that are also both <mark>Erotic films</mark> and <mark>Films about sexuality</mark>,"[""Drama films"", ""Erotic films"", ""Films about sexuality"", ""1993 films""]"
1980's children's adventure animated fantasy film,<mark>American children's animated fantasy films</mark> that are also <mark>1980s adventure films</mark>,"[""1980s films"", ""Children's animated films"", ""Children's adventure films"", ""Animated fantasy films""]"
what are Fauna of Tibet that also are both Holarctic and Fauna of South India,<mark>Fauna of Tibet</mark> that are also both <mark>Holarctic fauna</mark> and <mark>Fauna of South India</mark>,"[""Fauna of Tibet"", ""Holarctic fauna"", ""Fauna of South India""]"
Vulnerable fishes of South Asia only found in Asia,<mark>Fish of South Asia</mark> that are also <mark>Vulnerable fauna of Asia</mark>,"[""IUCN Vulnerable fishes"", ""Fishes of South Asia"", ""Endemic fishes of Asia""]"
Novels set in Henan or by Jin Yong,<mark>Novels by Jin Yong</mark> or <mark>Novels set in Henan</mark>,"[""Novels set in Henan"", ""Novels by Jin Yong""]"
1948 debut novels or works by Ruth Park,<mark>Books by Ruth Park</mark> or <mark>1948 debut novels</mark>,"[""Debut novels"", ""Works by Ruth Park"", ""Australian novels""]"
"Plant species of Quintana roo, Netherlands Antilles, or the Southwest Caribbean",<mark>Trees of Quintana Roo</mark> or <mark>Flora of the Netherlands Antilles</mark> or <mark>Flora of the Southwest Caribbean</mark>,"[""Plant species of Quintana Roo, Mexico"", ""Plant species of the Netherlands Antilles"", ""Plant species of the Southwest Caribbean""]"
1980s speculative fiction films that are Romance but not American,<mark>Romance films</mark> that are also <mark>1980s speculative fiction films</mark> but not <mark>American romance films</mark>,"[""1980s films"", ""Speculative fiction films"", ""Romance films"", ""American films""]"
"Documentary films about Afghanistan, but are not about jihadism.",<mark>Documentary films about Afghanistan</mark> that are not <mark>Films about jihadism</mark>,"[""Documentary films"", ""Films about Afghanistan"", ""Films about jihadism"", ""Afghan documentary films""]"
Classical war films not set in Lazio,<mark>Classical war films</mark> that are not <mark>Films set in Lazio</mark>,"[""War films"", ""Films set in classical antiquity"", ""Sword-and-sandal films"", ""Films set in Lazio""]"
what are some Films set in Ankara,<mark>Films set in Ankara</mark>,"[""Films set in Ankara"", ""Films set in Turkey"", ""Turkish films"", ""Turkish-language films"", ""Films shot in Ankara""]"
what are some Eocene fish of Europe or of Asia?,<mark>Eocene fish of Europe</mark> or <mark>Eocene fish of Asia</mark>,"[""Eocene fish"", ""Fish of Europe"", ""Fish of Asia""]"
Moths or Insects or Arthropods of Guadeloupe,<mark>Arthropods of Guadeloupe</mark> or <mark>Insects of Guadeloupe</mark> or <mark>Moths of Guadeloupe</mark>,"[""Moths of Guadeloupe"", ""Insects of Guadeloupe"", ""Arthropods of Guadeloupe""]"
"Movies that are based on plays that are western, but not american western.",<mark>Films based on plays</mark> that are also <mark>Western (genre) films</mark> but not <mark>American Western (genre) films</mark>,"[""Films based on plays"", ""Western films"", ""American Western films"", ""European Western films"", ""Spaghetti Western films""]"
Trees of Guadeloupe the Windward Islands,<mark>Trees of Guadeloupe</mark> or <mark>Trees of the Windward Islands</mark>,"[""Trees of Guadeloupe"", ""Trees of the Windward Islands"", ""Trees of the Lesser Antilles"", ""Trees of the French West Indies"", ""Caribbean island trees""]"
Sexploitation films from 2001,<mark>2001 films</mark> that are also <mark>Sexploitation films</mark>,"[""Sexploitation films"", ""2001 films""]"
American novels about New Mexico from the 1980s,<mark>1980s books</mark> that are also both <mark>American novels</mark> and <mark>Books about New Mexico</mark>,"[""American novels"", ""Novels set in New Mexico"", ""Late twentieth-century novels""]"
2010s books about Oceania but not Australian books,<mark>2010s books</mark> that are also <mark>Books about Oceania</mark> but not <mark>Australian books</mark>,"[""2010s books"", ""Books about Oceania"", ""Australian books""]"
"Films set in Tochigi Prefecture,Films set in Gunma Prefecture, or Films set in Atami",<mark>Films set in Atami</mark> or <mark>Films set in Gunma Prefecture</mark> or <mark>Films set in Tochigi Prefecture</mark>,"[""Films set in Tochigi Prefecture"", ""Films set in Gunma Prefecture"", ""Films set in Atami""]"
"Films that are either Brazilian fantasy comedy, Portuguese sci-fi, or LGBT related sci-fi comedy films",<mark>LGBT-related science fiction comedy films</mark> or <mark>Portuguese science fiction films</mark> or <mark>Brazilian fantasy comedy films</mark>,"[""Brazilian fantasy comedy films"", ""Portuguese science fiction films"", ""LGBT-related science fiction comedy films""]"
Satirical adventure films shot in Hertfordshire,<mark>Satirical films</mark> that are also both <mark>Films shot in Hertfordshire</mark> and <mark>Adventure films</mark>,"[""Satirical films"", ""Adventure films"", ""Films shot in Hertfordshire"", ""Films shot at Elstree Studios"", ""Films shot at Warner Bros. Studios, Leavesden""]"
Flora of Southeast Asia that are Fiber Plants,<mark>Fiber plants</mark> that are also <mark>Flora of Southeast Asia</mark>,"[""Flora of Southeast Asia"", ""Fiber plants"", ""Bast fiber plants"", ""Leaf fiber plants"", ""Seed fiber plants""]"
British sports films without speech that are not about Horse racing,<mark>British sports films</mark> that are also <mark>Films without speech</mark> but not <mark>Horse racing films</mark>,"[""British sports films"", ""Films without speech"", ""Films about horse racing""]"
"what are some Novels about legendary creatures and are also Paranormal romance, but not Contemporary fantasy.",<mark>Novels about legendary creatures</mark> that are also <mark>Paranormal romance novels</mark> but not <mark>Contemporary fantasy novels</mark>,"[""Paranormal romance novels"", ""Novels about legendary creatures"", ""Contemporary fantasy novels"", ""Novels""]"
2017 or LGBT Irish novels,<mark>Irish LGBT novels</mark> or <mark>2017 Irish novels</mark>,"[""2017 novels"", ""LGBT novels"", ""Irish novels""]"
2010s science fiction adventure films excluding American science fiction films,<mark>2010s science fiction adventure films</mark> that are not <mark>American science fiction films</mark>,"[""Science fiction adventure films"", ""2010s films"", ""American science fiction films""]"
Books on New Brunswick,<mark>Books about New Brunswick</mark>,"[""Books about New Brunswick (Canada)"", ""History books about New Brunswick (Canada)"", ""Travel guides to New Brunswick (Canada)"", ""Cultural studies of New Brunswick (Canada)"", ""Books about New Brunswick, New Jersey""]"
Novels set in the 1810s excluding Novels about the military,<mark>Novels set in the 1810s</mark> that are not <mark>Novels about the military</mark>,"[""Novels set in the early 19th century"", ""Military fiction""]"
Orchids of China that are also in the Philippines and Bangladesh,<mark>Flora of the Philippines</mark> that are also both <mark>Orchids of China</mark> and <mark>Flora of Bangladesh</mark>,"[""Orchids of China"", ""Orchids of the Philippines"", ""Orchids of Bangladesh""]"
Trees or Flora of Bermuda,<mark>Trees of Bermuda</mark> or <mark>Flora of Bermuda</mark>,"[""Trees of Bermuda"", ""Flora of Bermuda"", ""Native plants of Bermuda"", ""Coastal plants of Bermuda""]"
1944 History books about World War II and the late modern period,<mark>Books about World War II</mark> that are also both <mark>1944 books</mark> and <mark>History books about the late modern period</mark>,"[""History books about World War II"", ""History books about the late modern period"", ""History books published during World War II""]"
Rosid genera that are also of Washington (state),<mark>Rosid genera</mark> that are also <mark>Flora of Washington (state)</mark>,"[""Rosids"", ""Plant genera"", ""Flora of Washington (state)""]"
Aquatic Carnivorous plants of North America,<mark>Aquatic plants</mark> that are also <mark>Carnivorous plants of North America</mark>,"[""Carnivorous plants"", ""Aquatic plants"", ""Flora of North America"", ""Bladderworts""]"
"Novels that are 1940s children's books, travel books, and set on ships",<mark>Novels set on ships</mark> that are also both <mark>1940s children's books</mark> and <mark>Travel books</mark>,"[""Novels"", ""Children's books"", ""Travel books"", ""Books set on ships"", ""Mid-20th-century literature""]"
books from the 1310s,<mark>1310s books</mark>,"[""Early 14th-century books"", ""Medieval manuscripts"", ""Middle Ages literature""]"
DC Comics adapted films or superhero films from the 1950s,<mark>Live-action films based on DC Comics</mark> or <mark>1950s superhero films</mark>,"[""Films based on DC Comics"", ""Superhero films"", ""1950s films""]"
Martial arts films from 1999 or professional wrestling films about women,<mark>1999 martial arts films</mark> or <mark>Women's professional wrestling films</mark>,"[""Martial arts films"", ""1999 films"", ""Professional wrestling films"", ""Films about women""]"
Endemic fauna of Japan and Invertebrates of Asia but not Lepidoptera of Asia,<mark>Invertebrates of Asia</mark> that are also <mark>Endemic fauna of Japan</mark> but not <mark>Lepidoptera of Asia</mark>,"[""Endemic fauna of Japan"", ""Invertebrates of Asia"", ""Lepidoptera of Asia"", ""Endemic invertebrates of Japan""]"
Demon novels not based on a television series,<mark>Demon novels</mark> that are not <mark>Novels based on television series</mark>,"[""Demon novels"", ""Novels based on television series"", ""Urban fantasy novels"", ""Supernatural horror novels""]"
Books about extraterrestrial life that are 1982 novels,<mark>1982 novels</mark> that are also <mark>Books about extraterrestrial life</mark>,"[""Novels about extraterrestrial life"", ""Science fiction novels"", ""1982 novels""]"
birds of vietnam and eurasia that was discovered in 1874,<mark>Fauna of Vietnam</mark> that are also both <mark>Birds described in 1874</mark> and <mark>Birds of Eurasia</mark>,"[""Birds of Vietnam"", ""Birds of Eurasia"", ""Bird species described in the 1870s""]"
"1740s fantasy novels, 1747 books, or novels by Denis Diderot",<mark>1740s fantasy novels</mark> or <mark>Novels by Denis Diderot</mark> or <mark>1747 books</mark>,"[""Fantasy novels of the 1740s"", ""1747 books"", ""Novels by Denis Diderot""]"
"1933 documentaries, documentaries about volcanoes, or Films shot in Guadeloupe",<mark>Documentary films about volcanoes</mark> or <mark>1933 documentary films</mark> or <mark>Films shot in Guadeloupe</mark>,"[""Documentary films"", ""Documentary films about volcanoes"", ""Films shot in Guadeloupe""]"
